datap,median,total,size,clade,numtaxa
Luo_et_Wible_2005a.nex,0.374407583,0.438882306,422,Meso_mammals,1
Garcia_etal_2019bc.nex,0.360189573,0.443633846,422,Non_dinosaur_archosauro,1
Muller_etal_2018cc.nex,0.357819905,0.43763464,422,Non_dinosaur_archosauro,1
Choiniere_etal_2010b.nex,0.703087886,0.633460496,421,Dinosaurs,1
Ezcurra_etal_2024a.nex,0.6152019,0.557207291,421,Dinosaurs,1
Garcia_etal_2021ab.nex,0.351543943,0.425454345,421,Dinosaurs,1
Rauhut_etal_2012bb.nex,0.698337292,0.631021378,421,Dinosaurs,1
Xu_etal_2012aa.nex,0.698337292,0.631140143,421,Dinosaurs,1
Beck_et_Lee_2014aa.nex,0.529691211,0.508246314,421,Meso_mammals,1
Beck_et_Lee_2014ab.nex,0.529691211,0.508246314,421,Meso_mammals,1
Herrera_et_Davalos_2016a.nex,0.560570071,0.475440603,421,Primates,1
Aranciaga_Rolando_etal_2021a.nex,0.75952381,0.643347339,420,Dinosaurs,1
Cerda_etal_2021a.nex,0.680952381,0.622546161,420,Dinosaurs,1
Apaldetti_et_Martinez_2022a.nex,0.572792363,0.522793873,419,Dinosaurs,1
Gianechini_etal_2020a.nex,0.825775656,0.701393129,419,Dinosaurs,1
Moopen_etal_2023ab.nex,0.61575179,0.55797663,419,Dinosaurs,1
Pol_etal_2021a.nex,0.572792363,0.522793873,419,Dinosaurs,1
Pol_etal_2021b.nex,0.61097852,0.538684632,419,Dinosaurs,1
Nesbitt_etal_2017aa.nex,0.375894988,0.435408521,419,Non_dinosaur_archosauro,1
Nesbitt_etal_2017bc.nex,0.525059666,0.521278244,419,Non_dinosaur_archosauro,1
Nesbitt_etal_2017bd.nex,0.375894988,0.435408521,419,Non_dinosaur_archosauro,1
Nesbitt_etal_2017be.nex,0.38902148,0.439216179,419,Non_dinosaur_archosauro,1
Sarigul_etal_2018a.nex,0.393794749,0.450188224,419,Non_dinosaur_archosauro,1
Yanez_etal_2021a.nex,0.455847255,0.448373954,419,Non_dinosaur_archosauro,1
Carballido_etal_2022an.nex,0.673444976,0.615010689,418,Dinosaurs,1
Gallina_etal_2021a.nex,0.673444976,0.615010689,418,Dinosaurs,1
Otero_etal_2021a.nex,0.677033493,0.617577436,418,Dinosaurs,1
Lacerda_etal_2018a.nex,0.349282297,0.425921756,418,Non_dinosaur_archosauro,1
Kay_etal_2019a.nex,0,0,418,Primates,0
Carballido_etal_2020a.nex,0.649880096,0.602000218,417,Dinosaurs,1
Carballido_etal_2022ak.nex,0.649880096,0.602000218,417,Dinosaurs,1
Filippi_etal_2016a.nex,0.826923077,0.700835623,416,Dinosaurs,1
